Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
OR5x100-0.75_7 SAM-0.01,7569174,83257563,197009797,386826060,576649074,765992570,
OR5x100-0.75_7 SAM-0.02,7569174,83179647,196823558,387438741,578740365,770025814,
OR5x100-0.75_7 SAM-0.05,7569174,83677479,198100474,390076120,582239837,773226008,
OR5x100-0.75_7 SAM-0.1,7569174,83831463,198050658,388997004,584132171,779525285,
OR5x100-0.75_7 SAM-0.2,7569174,83703066,199221459,392008731,584203206,781670769,
OR5x100-0.75_8 SAM-0.01,7566960,83217224,196606134,385678249,574638097,763265290,
OR5x100-0.75_8 SAM-0.02,7566960,83427961,196979215,385023145,571775986,758182311,
OR5x100-0.75_8 SAM-0.05,7566960,83037062,197563308,390661069,587621706,785153681,
OR5x100-0.75_8 SAM-0.1,7566960,82511650,194500279,384069195,570561000,759239454,
OR5x100-0.75_8 SAM-0.2,7566960,81873238,192351428,377495808,559331122,738348790,
OR5x100-0.75_9 SAM-0.01,7312719,80339016,189922434,372827840,555922068,739296481,
OR5x100-0.75_9 SAM-0.02,7312719,80068837,188578075,369313180,550252362,731479069,
OR5x100-0.75_9 SAM-0.05,7312719,80190559,188857935,369466861,550729926,730279822,
OR5x100-0.75_9 SAM-0.1,7312719,79909173,187071645,363806697,537218191,712315075,
OR5x100-0.75_9 SAM-0.2,7312719,77654302,182764257,355327751,529139695,703080394,
